Organization,City,Phone,Credibility,Url,Address
Action against Hunger,Juba,18003498855,4,Action_Against_Hunger_logo.png,0xF1c2b828bCeB394c18c669dE907263C906487D1E
Oxfam,Aleppo,18008587412,5,Oxfam_logo.png,0x5FdEE9426b6525fbbdB28f3e7B8CfbB9baA055d4
Oxfam,Bamako,18008587412,5,Oxfam_logo.png,0x5FdEE9426b6525fbbdB28f3e7B8CfbB9baA055d4
Care International,Addis Adaba,18006128879,5,care_international_logo.png,0xcA1e2921465a1f0A274BEB0930b049b3BF49052c
World Food Program,Dakar,18006195544,4,world_food_program_logo.png,0xE8bD5A5df4946C85A72A3E3B6cF9323Cc2ae2730
World Food Program,Madagascar,18006195544,4,world_food_program_logo.png,0xE8bD5A5df4946C85A72A3E3B6cF9323Cc2ae2730
World Food Program,Conakry,18006195544,4,world_food_program_logo.png,0xE8bD5A5df4946C85A72A3E3B6cF9323Cc2ae2730
International Rescue Committee,Harare,18005213344,5,International_Rescue_Committee_Logo.png,0x1e348F3CEaF5f0C002E308e35EEBd1f32718c7e6
World Vision,Dar Es Salaam,18009875532,4,World_Vision_logo.png,0xc8b8D81f597408d7827e845BBAACF6d8dDE42559
Unicef,Lusaka,18009785566,5,UNICEF_logo.png,0xc91B480Dc5999696725a9bD6571A6DcE259F7E2D
Direct Relief,Haiti,18005522165,4,Direct_Relief_logo.webp,0x16c756c4cEb4cBAE029e85F9892E5d526A45076A
Direct Relief,Kramatorsk,18005522165,4,Direct_Relief_logo.webp,0x16c756c4cEb4cBAE029e85F9892E5d526A45076A
Transaprent Hands,Niamey,18007985522,5,transparent_hands_logo.webp,0xB5416d2afA9Ed1238BfaB929313334604Ea7E3Fa
Transaprent Hands,Monrovia,18007985522,5,transparent_hands_logo.webp,0xB5416d2afA9Ed1238BfaB929313334604Ea7E3Fa